BillID,BillIntroducedDate,BillNumber,BillNumberOfPages,BillTitle,BillType,BillURL,DaysUntilRoyalAssent,FirstEventChamber,FirstEventDate,FirstEventId,FirstEventMeetingnumber,LastEventDate,PDFURL,ParliamentNumber,PrimeMinisterName,PrimeMinisterParty,SessionNumber,SponsorGender,SponsorParty,SponsorTitle,StatuteChapter,StatuteYear
8062279,2015-12-09T15:56:00,C-2,12.0,An Act to amend the Income Tax Act,House Government Bill,http://parl.ca/DocumentViewer/en/8064766?Language=E,372,HOC,2015-12-09,8762825,5,2016-12-15,http://parl.ca/Content/Bills/421/Government/C-2/C-2_1/C-2_1.PDF,42,Justin Trudeau,Liberal,1,M,Liberal,Minister of Finance,11,2016
6254806,2013-10-17T10:09:54,C-2,20.0,An Act to amend the Controlled Drugs and Substances Act,House Government Bill,http://parl.ca/DocumentViewer/en/6256959?Language=E,609,HOC,2013-10-17,8098684,2,2015-06-18,http://parl.ca/Content/Bills/412/Government/C-2/C-2_1/C-2_1.PDF,41,Stephen Harper,Conservative,2,F,Conservative,Minister of Health,22,2015
5085519,2011-06-13T15:03:53,C-2,18.0,An Act to amend the Criminal Code (mega-trials),House Government Bill,http://parl.ca/DocumentViewer/en/5087405?Language=E,13,HOC,2011-06-13,3886448,7,2011-06-26,http://parl.ca/Content/Bills/411/Government/C-2/C-2_1/C-2_1.PDF,41,Stephen Harper,Conservative,1,M,Conservative,Minister of Justice,16,2011
4333701,2010-03-10T15:12:16,C-2,46.0,"An Act to implement the Free Trade Agreement between Canada and the Republic of Colombia, the Agreement on the Environment between Canada and the Republic of Colombia and the Agreement on Labour Cooperation between Canada and the Republic of Colombia",House Government Bill,http://parl.ca/DocumentViewer/en/4338392?Language=E,111,HOC,2010-03-10,3835779,6,2010-06-29,http://parl.ca/Content/Bills/403/Government/C-2/C-2_1/C-2_1.PDF,40,Stephen Harper,Conservative,3,M,Conservative,Minister of International Trade,4,2010
3628710,2009-01-28T15:06:58,C-2,84.0,"An Act to implement the Free Trade Agreement between Canada and the States of the European Free Trade Association (Iceland, Liechtenstein, Norway, Switzerland), the Agreement on Agriculture between Canada and the Republic of Iceland, the Agreement on Agriculture between Canada and the Kingdom of Norway and the Agreement on Agriculture between Canada and the Swiss Confederation",House Government Bill,http://parl.ca/DocumentViewer/en/3632502?Language=E,91,HOC,2009-01-28,3838535,3,2009-04-29,http://parl.ca/Content/Bills/402/Government/C-2/C-2_1/C-2_1.PDF,40,Stephen Harper,Conservative,2,M,Conservative,Minister of International Trade and Minister for the Asia-Pacific Gateway,6,2009
3076458,2007-10-18T10:05:52,C-2,56.0,An Act to amend the Criminal Code and to make consequential amendments to other Acts,House Government Bill,http://parl.ca/DocumentViewer/en/3078412?Language=E,133,HOC,2007-10-18,3833887,3,2008-02-28,http://parl.ca/Content/Bills/392/Government/C-2/C-2_1/C-2_1.PDF,39,Stephen Harper,Conservative,2,M,Conservative,Minister of Justice,6,2008
2158135,2006-04-11T10:06:18,C-2,274.0,"An Act providing for conflict of interest rules, restrictions on election financing and measures respecting administrative transparency, oversight and accountability",House Government Bill,http://parl.ca/DocumentViewer/en/2333855?Language=E,245,HOC,2006-04-11,3835072,7,2006-12-12,http://parl.ca/Content/Bills/391/Government/C-2/C-2_1/C-2_1.PDF,39,Stephen Harper,Conservative,1,M,Conservative,President of the Treasury Board,9,2006
1395588,2004-10-08T12:16:21,C-2,40.0,An Act to amend the Criminal Code (protection of children and other vulnerable persons) and the Canada Evidence Act,House Government Bill,http://parl.ca/DocumentViewer/en/2334051?Language=E,285,HOC,2004-10-08,3837232,5,2005-07-20,http://parl.ca/Content/Bills/381/Government/C-2/C-2_1/C-2_1.PDF,38,Paul Martin,Liberal,1,M,Liberal,Minister of Justice,32,2005
508919,2002-10-03T13:41:15,C-2,87.0,An Act to establish a process for assessing the environmental and socio-economic effects of certain activities in Yukon,House Government Bill,http://parl.ca/DocumentViewer/en/2331362?Language=E,222,HOC,2002-10-03,3833057,4,2003-05-13,http://parl.ca/Content/Bills/372/Government/C-2/c-2_1/c-2_1.pdf,37,Jean Chrétien,Liberal,2,M,Liberal,Minister of Indian Affairs and Northern Development,7,2003
9992,2001-02-02T14:00:11,C-2,15.0,An Act to amend the Employment Insurance Act and the Employment Insurance (Fishing) Regulations,House Government Bill,http://parl.ca/DocumentViewer/en/2330900?Language=E,97,HOC,2001-02-02,3832905,5,2001-05-10,http://parl.ca/Content/Bills/371/Government/C-2/c-2_1/C-2_1.pdf,37,Jean Chrétien,Liberal,1,F,Liberal,Minister of Human Resources Development,5,2001
