BillNumberOfPages,BillType,DaysUntilRoyalAssent,ParliamentNumber,SessionNumber,PrimeMinisterName,PrimeMinisterParty,SponsorGender,SponsorParty,SponsorTitle,BillMonthOfYear,IsSponsorInPower
12.0,House Government Bill,372,42,1,Justin Trudeau,Liberal,M,Liberal,Minister of Finance,12,True
20.0,House Government Bill,609,41,2,Stephen Harper,Conservative,F,Conservative,Minister of Health,10,True
18.0,House Government Bill,13,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,6,True
46.0,House Government Bill,111,40,3,Stephen Harper,Conservative,M,Conservative,Other,3,True
84.0,House Government Bill,91,40,2,Stephen Harper,Conservative,M,Conservative,Other,1,True
56.0,House Government Bill,133,39,2,Stephen Harper,Conservative,M,Conservative,Minister of Justice,10,True
274.0,House Government Bill,245,39,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,4,True
40.0,House Government Bill,285,38,1,Paul Martin,Liberal,M,Liberal,Minister of Justice,10,True
87.0,House Government Bill,222,37,2,Jean Chrétien,Liberal,M,Liberal,Minister of Indian Affairs and Northern Development,10,True
15.0,House Government Bill,97,37,1,Jean Chrétien,Liberal,F,Liberal,Other,2,True
8.0,House Government Bill,1,42,1,Justin Trudeau,Liberal,M,Liberal,President of the Treasury Board,12,True
116.0,House Government Bill,417,41,2,Stephen Harper,Conservative,F,Conservative,Minister of Transport,10,True
58.0,House Government Bill,12,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Finance,6,True
8.0,House Government Bill,279,40,3,Stephen Harper,Conservative,M,Conservative,Other,3,True
6.0,House Government Bill,134,40,2,Stephen Harper,Conservative,M,Conservative,"Minister of Transport, Infrastructure and Communities",1,True
24.0,House Government Bill,115,39,2,Stephen Harper,Conservative,M,Conservative,Minister of Public Safety,10,True
36.0,House Government Bill,283,39,1,Stephen Harper,Conservative,M,Conservative,"Minister of Transport, Infrastructure and Communities",4,True
32.0,House Government Bill,258,38,1,Paul Martin,Liberal,M,Liberal,Minister of Transport,10,True
33.0,House Government Bill,94,37,3,Paul Martin,Liberal,M,Liberal,Leader of the Government in the House of Commons,2,True
26.0,House Government Bill,182,37,2,Jean Chrétien,Liberal,M,Liberal,Minister of Finance,10,True
10.0,House Government Bill,132,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Natural Resources,2,True
322.0,House Government Bill,51,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Finance,10,True
198.0,House Government Bill,146,40,2,Stephen Harper,Conservative,F,Conservative,Other,1,True
6.0,House Government Bill,17,39,1,Stephen Harper,Conservative,M,Conservative,Other,4,True
124.0,House Government Bill,139,38,1,Paul Martin,Liberal,M,Liberal,Minister of Transport,10,True
35.0,House Government Bill,49,37,3,Paul Martin,Liberal,M,Liberal,Leader of the Government in the House of Commons,2,True
6.0,House Government Bill,133,37,2,Jean Chrétien,Liberal,M,Liberal,Minister of Natural Resources,10,True
26.0,House Government Bill,132,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Natural Resources,2,True
294.0,House Government Bill,238,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Natural Resources,10,True
28.0,House Government Bill,106,40,2,Stephen Harper,Conservative,M,Conservative,Other,1,True
16.0,House Government Bill,232,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Health,4,True
22.0,House Government Bill,68,38,1,Paul Martin,Liberal,M,Liberal,Minister of Human Resources and Skills Development,10,True
6.0,House Government Bill,29,37,3,Paul Martin,Liberal,M,Liberal,Leader of the Government in the House of Commons,2,True
106.0,House Government Bill,64,37,2,Jean Chrétien,Liberal,M,Liberal,Minister of the Environment,10,True
32.0,House Government Bill,377,41,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
12.0,House Government Bill,6,41,1,Stephen Harper,Conservative,F,Conservative,Other,6,True
42.0,House Government Bill,8,40,3,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,3,True
26.0,House Government Bill,166,38,1,Paul Martin,Liberal,F,Liberal,Other,10,True
44.0,House Government Bill,47,37,3,Paul Martin,Liberal,M,Liberal,Minister of Health,2,True
41.0,House Government Bill,394,37,2,Jean Chrétien,Liberal,M,Liberal,Minister of Indian Affairs and Northern Development,10,True
10.0,House Government Bill,316,37,1,Jean Chrétien,Liberal,M,Liberal,Other,2,True
10.0,House Government Bill,48,41,2,Stephen Harper,Conservative,F,Conservative,Other,10,True
134.0,House Government Bill,145,40,2,Stephen Harper,Conservative,M,Conservative,"Minister of Transport, Infrastructure and Communities",1,True
30.0,House Government Bill,8,40,3,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,3,True
16.0,House Government Bill,139,38,1,Paul Martin,Liberal,M,Liberal,Minister of the Environment,10,True
118.0,House Government Bill,85,37,3,Paul Martin,Liberal,M,Liberal,Minister of Transport,2,True
197.0,House Government Bill,379,37,1,Jean Chrétien,Liberal,F,Liberal,Minister of Justice,2,True
36.0,House Government Bill,3,42,1,Justin Trudeau,Liberal,M,Liberal,President of the Treasury Board,3,True
54.0,House Government Bill,407,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Industry,10,True
100.0,House Government Bill,4,41,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
14.0,House Government Bill,122,39,2,Stephen Harper,Conservative,M,Conservative,"Minister of Transport, Infrastructure and Communities",10,True
1.0,House Government Bill,8,39,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,5,True
8.0,House Government Bill,195,38,1,Paul Martin,Liberal,M,Liberal,President of the Treasury Board,10,True
26.0,House Government Bill,71,37,3,Paul Martin,Liberal,F,Liberal,Other,2,True
71.0,House Government Bill,64,37,2,Jean Chrétien,Liberal,F,Liberal,Minister of Health,10,True
944.0,House Government Bill,127,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Finance,2,True
28.0,House Government Bill,3,42,1,Justin Trudeau,Liberal,M,Liberal,President of the Treasury Board,3,True
22.0,House Government Bill,164,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Aboriginal Affairs and Northern Development,10,True
18.0,House Government Bill,4,41,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
44.0,House Government Bill,101,40,2,Stephen Harper,Conservative,M,Conservative,"Minister of Transport, Infrastructure and Communities",2,True
904.0,House Government Bill,105,40,3,Stephen Harper,Conservative,M,Conservative,Minister of Finance,3,True
28.0,House Government Bill,136,39,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
6.0,House Government Bill,392,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,5,True
20.0,House Government Bill,258,38,1,Paul Martin,Liberal,M,Liberal,Other,10,True
44.0,House Government Bill,92,37,3,Paul Martin,Liberal,F,Liberal,Minister of Industry,2,True
64.0,House Government Bill,245,37,2,Jean Chrétien,Liberal,M,Liberal,Minister of the Environment,10,True
24.0,House Government Bill,119,37,1,Jean Chrétien,Liberal,M,Liberal,Leader of the Government in the House of Commons,2,True
8.0,House Government Bill,90,42,1,Justin Trudeau,Liberal,M,Liberal,Minister of Transport,3,True
6.0,House Government Bill,366,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Justice,11,True
152.0,House Government Bill,175,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,9,True
551.0,House Government Bill,34,40,2,Stephen Harper,Conservative,M,Conservative,Minister of Finance,2,True
54.0,House Government Bill,223,38,1,Paul Martin,Liberal,M,Liberal,Minister of Justice,10,True
34.0,House Government Bill,478,37,1,Jean Chrétien,Liberal,F,Liberal,Other,2,True
28.0,House Government Bill,215,37,2,Jean Chrétien,Liberal,M,Liberal,Minister of Justice,10,True
12.0,House Government Bill,90,42,1,Justin Trudeau,Liberal,M,Liberal,Other,3,True
76.0,House Government Bill,274,41,1,Stephen Harper,Conservative,M,Conservative,Other,9,True
54.0,House Government Bill,134,40,2,Stephen Harper,Conservative,F,Conservative,Minister of Health,2,True
24.0,House Government Bill,91,40,3,Stephen Harper,Conservative,M,Conservative,Other,3,True
10.0,House Government Bill,108,39,2,Stephen Harper,Conservative,M,Conservative,Minister of Indian Affairs and Northern Development,10,True
59.0,House Government Bill,414,39,1,Stephen Harper,Conservative,M,Conservative,"Minister of Transport, Infrastructure and Communities",5,True
34.0,House Government Bill,413,38,1,Paul Martin,Liberal,M,Liberal,President of the Treasury Board,10,True
12.0,House Government Bill,84,37,3,Paul Martin,Liberal,M,Liberal,Minister of Indian Affairs and Northern Development,2,True
6.0,House Government Bill,64,37,2,Jean Chrétien,Liberal,F,Liberal,Other,10,True
142.0,House Government Bill,253,37,1,Jean Chrétien,Liberal,F,Liberal,Other,2,True
6.0,House Government Bill,587,41,2,Stephen Harper,Conservative,M,Conservative,Other,11,True
1.0,House Government Bill,14,40,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,2,True
98.0,House Government Bill,46,39,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
16.0,House Government Bill,410,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Public Safety,5,True
38.0,House Government Bill,217,38,1,Paul Martin,Liberal,M,Liberal,Minister of Health,10,True
21.0,House Government Bill,161,37,2,Jean Chrétien,Liberal,F,Liberal,Other,10,True
88.0,House Government Bill,113,37,1,Jean Chrétien,Liberal,F,Liberal,Minister of Justice,2,True
66.0,House Government Bill,243,42,1,Justin Trudeau,Liberal,F,Liberal,Other,4,True
70.0,House Government Bill,384,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Justice,11,True
658.0,House Government Bill,72,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Finance,10,True
6.0,House Government Bill,78,40,3,Stephen Harper,Conservative,F,Conservative,Minister of Human Resources and Skills Development,4,True
26.0,House Government Bill,213,39,2,Stephen Harper,Conservative,M,Conservative,Minister of Justice,10,True
198.0,House Government Bill,42,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Finance,5,True
40.0,House Government Bill,216,38,1,Paul Martin,Liberal,M,Liberal,Minister of Justice,10,True
13.0,House Government Bill,46,37,3,Paul Martin,Liberal,M,Liberal,Minister of Justice,2,True
52.0,House Government Bill,111,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Finance,2,True
18.0,House Government Bill,64,42,1,Justin Trudeau,Liberal,F,Liberal,Minister of Justice,4,True
30.0,House Government Bill,137,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Justice,11,True
16.0,House Government Bill,117,40,2,Stephen Harper,Conservative,M,Conservative,Minister of Justice,2,True
40.0,House Government Bill,342,40,3,Stephen Harper,Conservative,M,Conservative,Minister of Industry,4,True
6.0,House Government Bill,403,39,1,Stephen Harper,Conservative,F,Conservative,Other,5,True
74.0,House Government Bill,119,38,1,Paul Martin,Liberal,M,Liberal,Minister of Indian Affairs and Northern Development,10,True
20.0,House Government Bill,63,37,2,Jean Chrétien,Liberal,M,Liberal,Minister of Natural Resources,10,True
16.0,House Government Bill,70,37,3,Paul Martin,Liberal,M,Liberal,Minister of Justice,2,True
234.0,House Government Bill,245,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Transport,3,True
190.0,House Government Bill,63,42,1,Justin Trudeau,Liberal,M,Liberal,Minister of Finance,4,True
240.0,House Government Bill,112,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Aboriginal Affairs and Northern Development,12,True
90.0,House Government Bill,621,41,1,Stephen Harper,Conservative,M,Conservative,Other,10,True
30.0,House Government Bill,35,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Agriculture and Agri-Food,5,True
14.0,House Government Bill,46,39,2,Stephen Harper,Conservative,M,Conservative,Minister of Natural Resources,10,True
54.0,House Government Bill,205,38,1,Paul Martin,Liberal,M,Liberal,Minister of the Environment,10,True
24.0,House Government Bill,92,37,3,Paul Martin,Liberal,F,Liberal,Other,2,True
31.0,House Government Bill,231,37,2,Jean Chrétien,Liberal,M,Liberal,Minister of Industry,10,True
107.0,House Government Bill,244,37,1,Jean Chrétien,Liberal,F,Liberal,Minister of Justice,10,True
12.0,House Government Bill,89,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Aboriginal Affairs and Northern Development,12,True
6.0,House Government Bill,53,41,1,Stephen Harper,Conservative,M,Conservative,Other,10,True
226.0,House Government Bill,106,40,2,Stephen Harper,Conservative,M,Conservative,Minister of the Environment,3,True
6.0,House Government Bill,338,39,1,Stephen Harper,Conservative,M,Conservative,Other,5,True
44.0,House Government Bill,49,37,3,Paul Martin,Liberal,F,Liberal,Other,2,True
20.0,House Government Bill,335,41,2,Stephen Harper,Conservative,F,Conservative,Minister of Health,12,True
6.0,House Government Bill,49,40,2,Stephen Harper,Conservative,M,Conservative,Minister of the Environment,3,True
56.0,House Government Bill,197,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,5,True
24.0,House Government Bill,84,37,3,Paul Martin,Liberal,M,Liberal,Other,2,True
10.0,House Government Bill,91,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Finance,3,True
108.0,House Government Bill,443,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Agriculture and Agri-Food,12,True
50.0,House Government Bill,58,41,1,Stephen Harper,Conservative,M,Conservative,Other,10,True
14.0,House Government Bill,101,40,2,Stephen Harper,Conservative,M,Conservative,Minister of Public Safety,3,True
66.0,House Government Bill,379,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,6,True
8.0,House Government Bill,42,39,2,Stephen Harper,Conservative,M,Conservative,Other,11,True
10.0,House Government Bill,142,38,1,Paul Martin,Liberal,F,Liberal,Other,11,True
10.0,House Government Bill,46,37,3,Paul Martin,Liberal,M,Liberal,Minister of Finance,2,True
6.0,House Government Bill,91,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Finance,3,True
48.0,House Government Bill,8,42,1,Justin Trudeau,Liberal,M,Liberal,President of the Treasury Board,6,True
60.0,House Government Bill,3,41,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,12,True
22.0,House Government Bill,163,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Public Safety,10,True
12.0,House Government Bill,182,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,6,True
26.0,House Government Bill,8,42,1,Justin Trudeau,Liberal,M,Liberal,President of the Treasury Board,6,True
